annual_income,credit_score,previous_defaults,credit_utilization_ratio,inquiry_count_6m,debt_to_income_ratio,default_flag
50601,692,1,0.25,3,0.06,0
65171,618,0,0.02,2,0.08,0
44111,595,0,0.13,1,0.29,0
62589,602,0,0.35,0,0.21,0
49659,682,1,0.39,0,0.36,0
56069,656,1,0.68,0,0.02,0
55498,645,0,0.02,1,0.31,0
61329,667,0,0.31,2,0.32,0
46548,613,1,0.19,1,0.29,0
44254,648,0,0.81,6,0.29,0
52879,771,0,0.31,0,0.4,0
58316,706,0,0.52,2,0.31,0
47876,719,1,0.62,0,0.43,0
49992,667,0,0.45,3,0.25,0
32703,654,0,0.58,1,0.29,0
50105,595,0,0.13,5,0.21,0
37673,758,0,0.59,1,0.27,0
47995,719,0,0.22,1,0.29,0
64638,641,0,0.59,1,0.11,0
48463,686,0,0.54,0,0.13,0
52364,692,0,0.63,1,0.3,0
54248,622,1,0.61,0,0.12,0
50105,744,0,0.18,3,0.12,0
50105,607,0,0.57,2,0.29,0
50105,779,0,0.56,1,0.12,0
45515,716,1,0.25,0,0.16,0
50105,747,0,0.38,1,0.33,0
54979,667,0,0.86,1,0.35,0
42850,690,0,0.22,0,0.21,0
32458,578,0,0.19,2,0.16,0
37523,672,0,0.1,3,0.3,0
43705,698,0,0.29,1,0.31,0
53734,630,0,0.46,1,0.28,0
42967,681,0,0.39,5,0.39,0
42410,666,1,0.31,1,0.46,0
49348,682,1,0.36,0,0.36,0
39061,636,2,0.39,1,0.48,0
50105,716,0,0.11,2,0.17,0
50105,739,0,0.46,1,0.02,0
50105,630,1,0.88,1,0.51,0
50336,604,0,0.37,0,0.51,0
44516,672,0,0.31,0,0.05,0
58193,703,1,0.09,2,0.09,0
47973,668,2,0.33,1,0.24,0
31949,619,2,0.56,1,0.52,0
64570,627,0,0.09,2,0.31,0
61387,761,0,0.21,0,0.32,0
47930,726,1,0.27,2,0.43,0
36660,702,0,0.42,2,0.29,0
50105,716,0,0.05,0,0.35,0
65861,591,1,0.01,1,0.29,0
50105,639,0,0.46,2,0.33,0
52581,660,0,1.0,2,0.41,0
47607,675,0,0.71,1,0.31,0
50105,663,0,0.29,4,0.16,0
32129,614,2,0.71,0,0.42,1
50105,698,0,0.48,1,0.07,0
62819,653,0,0.45,1,0.25,0
49073,709,1,0.44,2,0.09,0
43159,690,0,0.47,1,0.14,0
57650,731,0,0.22,1,0.23,0
54965,661,0,0.7,1,0.02,0
32831,722,0,0.34,0,0.32,0
40264,713,0,0.31,3,0.27,0
38814,616,1,0.27,2,0.32,0
39001,667,0,0.23,2,0.29,0
52405,701,0,0.24,2,0.35,0
55481,679,0,0.3,0,0.5,0
50105,716,0,0.06,0,0.52,0
32177,646,0,0.62,1,0.37,0
67963,684,0,0.37,2,0.07,0
53782,785,0,0.4,1,0.35,0
50105,691,0,0.11,1,0.29,0
51233,706,0,0.05,1,0.37,0
45440,715,0,0.49,2,0.31,0
35782,663,0,0.5,3,0.52,0
59553,634,2,0.22,2,0.14,0
31663,631,0,0.68,0,0.38,0
47695,671,0,0.52,2,0.05,0
37101,614,0,1.0,1,0.09,0
43285,798,1,0.27,3,0.03,0
50105,645,0,0.08,1,0.25,0
61724,660,0,0.24,1,0.33,0
66671,708,1,0.16,0,0.24,0
55267,714,0,0.71,2,0.19,0
66070,736,1,0.21,1,0.15,0
65336,704,1,0.78,2,0.19,0
55855,696,1,0.11,0,0.17,0
50105,670,0,0.42,2,0.16,0
50105,577,0,0.55,2,0.22,0
37486,699,1,0.66,1,0.3,0
40958,714,1,0.37,0,0.47,0
47848,702,0,0.55,1,0.41,0
60618,647,1,0.46,2,0.2,0
40818,699,0,0.45,2,0.41,0
48331,646,1,0.52,0,0.35,0
54097,637,0,0.74,1,0.26,0
44464,591,0,0.48,0,0.24,0
36548,732,2,0.29,1,0.29,0
61102,593,0,0.26,0,0.19,0
40859,684,0,0.13,0,0.29,0
61583,668,0,0.48,1,0.13,0
50105,542,0,0.13,0,0.29,0
64946,707,0,0.24,2,0.28,0
39727,686,1,0.16,1,0.42,0
47017,540,0,0.32,1,0.26,0
50105,737,0,0.52,1,0.2,0
61926,674,0,0.46,1,0.25,0
50105,694,0,0.2,2,0.29,0
57920,663,1,0.32,1,0.26,0
47666,670,0,0.21,2,0.14,0
49213,672,0,0.17,0,0.27,0
50105,667,0,0.53,1,0.32,0
45159,674,0,0.59,1,0.49,0
56041,719,0,0.67,0,0.26,0
49534,694,0,0.42,2,0.14,0
36478,708,1,0.19,1,0.29,0
40247,672,1,0.35,3,0.34,0
59239,738,0,0.31,2,0.29,0
50105,727,0,0.94,4,0.29,0
33924,702,0,0.09,2,0.34,0
62089,764,0,1.0,1,0.23,0
50338,687,1,0.38,2,0.21,0
50105,725,0,0.35,1,0.36,0
56916,593,1,0.91,3,0.18,0
40222,704,0,0.26,3,0.45,0
48612,608,0,0.43,1,0.2,0
54824,719,0,0.23,1,0.54,0
43704,759,0,0.59,1,0.38,0
38668,685,0,0.18,1,0.23,0
60486,629,0,0.51,0,0.1,0
50105,686,0,0.35,1,0.14,0
50105,688,0,0.19,0,0.01,0
66512,613,0,0.61,2,0.21,0
67046,687,1,0.2,1,0.14,0
59471,713,0,0.21,2,0.23,0
37018,650,1,0.42,0,0.18,0
50105,731,1,0.61,3,0.14,0
50105,644,0,0.66,2,0.14,0
54614,632,0,0.46,0,0.22,0
50105,716,0,0.29,1,0.11,0
50105,751,0,0.12,1,0.13,0
50105,685,0,0.71,2,0.29,0
44129,689,0,0.2,2,0.3,0
39049,674,0,0.18,2,0.29,0
52017,686,0,0.33,2,0.44,0
50105,644,0,0.4,3,0.46,0
55012,706,1,0.28,0,0.28,0
50105,678,0,0.32,3,0.21,0
50105,631,0,0.13,1,0.29,0
67216,656,1,0.53,1,0.12,0
44434,656,0,0.2,4,0.43,0
54612,710,0,0.16,1,0.16,0
55931,731,0,0.44,3,0.38,0
43514,678,0,0.38,3,0.16,0
50105,752,0,0.42,2,0.31,0
33466,669,0,0.21,0,0.47,0
66492,743,1,0.24,3,0.25,0
53316,702,0,0.05,4,0.27,0
50105,635,0,0.23,1,0.14,0
50610,681,0,0.88,0,0.3,0
49599,708,0,0.45,2,0.18,0
49959,749,0,0.26,3,0.22,0
43281,636,1,0.4,1,0.31,0
54911,748,0,0.65,1,0.44,0
40712,645,0,0.2,0,0.27,0
36420,680,0,0.23,2,0.36,0
50105,770,0,0.22,0,0.3,0
35656,624,1,0.31,2,0.51,0
44834,691,0,0.71,1,0.49,0
31340,724,1,0.64,0,0.29,0
67138,762,0,0.26,2,0.25,0
65313,698,1,0.66,0,0.39,0
51530,697,0,0.69,1,0.12,0
49756,588,0,0.14,2,0.36,0
49366,579,1,0.09,1,0.29,0
39178,655,0,0.11,1,0.32,0
58648,731,0,0.2,1,0.42,0
58557,670,0,0.14,0,0.21,0
65028,721,0,1.0,2,0.21,0
50105,650,0,0.42,3,0.27,0
50105,619,0,0.73,4,0.29,1
50627,691,0,0.36,0,0.25,0
31813,727,0,1.0,1,0.29,0
50105,630,0,0.4,0,0.08,0
52276,714,1,0.67,1,0.5,0
50105,600,0,0.58,0,0.11,0
57085,720,1,0.01,3,0.39,0
51264,605,1,0.43,2,0.03,0
50105,702,0,0.37,3,0.21,0
55473,693,0,0.48,3,0.1,0
55130,660,0,0.1,2,0.26,0
36822,797,0,0.29,1,0.51,0
36330,688,0,0.49,2,0.52,0
56523,579,0,0.85,0,0.46,1
37503,766,0,0.08,2,0.19,0
35051,718,0,0.67,2,0.51,0
45637,685,0,0.03,2,0.49,0
50105,747,1,0.29,0,0.33,0
50105,647,0,0.1,2,0.29,0
36918,682,0,0.03,0,0.48,0
51544,648,1,0.48,0,0.32,0
38564,694,1,0.58,0,0.3,0
54599,653,0,0.36,0,0.26,0
62472,708,0,0.22,2,0.17,0
50105,763,0,0.82,0,0.29,0
50105,592,1,0.18,0,0.38,0
42893,582,0,0.13,1,0.18,0
63639,667,0,0.05,0,0.33,0
55870,705,0,0.13,1,0.11,0
50105,646,1,0.13,1,0.29,0
50105,705,0,0.86,1,0.38,0
50105,731,1,0.24,2,0.05,0
50105,737,0,1.0,0,0.29,0
35107,733,0,0.09,0,0.28,0
50105,719,0,0.16,4,0.29,0
41872,754,0,0.44,1,0.43,0
65525,752,2,0.16,0,0.16,0
57626,589,2,0.46,1,0.26,0
35161,627,0,0.39,1,0.29,0
43006,829,0,0.06,2,0.03,0
59742,691,0,0.92,2,0.17,0
36652,728,0,0.09,2,0.48,0
41394,648,0,0.21,1,0.32,0
67441,730,0,0.43,1,0.13,0
51107,729,0,0.11,2,0.24,0
50105,682,0,0.15,0,0.35,0
67311,575,1,0.23,0,0.06,0
53958,693,0,0.41,0,0.37,0
36779,671,0,1.0,1,0.29,0
60297,642,0,0.29,0,0.18,0
41406,758,0,0.7,1,0.44,0
68193,764,0,0.41,3,0.39,0
50387,756,1,0.53,2,0.22,0
44662,747,0,0.35,0,0.22,0
50105,713,0,0.13,0,0.4,0
42201,677,0,0.41,0,0.22,0
43678,740,0,0.29,2,0.35,0
51690,654,0,0.77,2,0.37,0
52468,736,0,0.59,2,0.03,0
50105,587,0,0.24,3,0.29,0
40972,640,1,0.77,3,0.3,0
68070,752,0,0.45,0,0.21,0
58547,663,0,0.45,2,0.18,0
46063,731,1,0.4,1,0.37,0
53892,764,0,1.0,1,0.26,0
48333,655,1,0.48,4,0.44,1
50105,631,0,0.14,3,0.29,0
41350,676,2,0.09,1,0.36,0
50105,570,0,0.67,2,0.2,0
50105,726,0,0.72,1,0.29,0
46408,767,0,0.42,2,0.41,0
52241,653,0,0.34,0,0.45,0
63738,649,0,0.54,2,0.1,0
45830,730,0,0.46,1,0.35,0
50105,701,0,0.7,2,0.28,0
49187,713,1,0.53,4,0.13,0
62310,719,0,0.3,2,0.08,0
63874,674,0,0.15,0,0.25,0
50105,614,0,0.45,1,0.35,0
47853,655,0,0.52,2,0.25,0
43368,671,0,0.47,2,0.39,0
50105,641,0,0.64,1,0.07,0
50077,702,0,0.63,0,0.25,0
31747,690,2,0.15,0,0.29,0
46745,600,0,0.41,2,0.29,0
51273,686,0,0.25,0,0.22,0
64265,798,0,0.99,1,0.15,0
42301,620,0,0.3,1,0.33,0
50105,668,0,0.74,1,0.25,0
35936,706,1,0.51,2,0.33,0
50105,728,1,0.45,1,0.17,0
53062,761,1,0.24,1,0.24,0
38683,745,0,0.09,1,0.28,0
64759,723,2,0.35,3,0.26,0
36083,754,1,0.14,5,0.54,0
50105,620,1,0.43,3,0.06,0
56741,822,0,0.52,3,0.41,0
50105,665,0,0.78,3,0.24,0
55420,730,0,0.41,1,0.26,0
50105,632,0,0.39,2,0.0,0
40804,639,1,0.44,2,0.29,0
64057,689,0,0.6,1,0.23,0
50105,690,0,0.72,1,0.29,0
46957,636,0,0.86,1,0.4,0
39643,650,1,0.16,1,0.49,0
50105,626,0,0.23,2,0.24,0
50105,739,1,0.45,2,0.29,0
50105,723,0,0.85,1,0.17,0
38603,661,1,0.44,0,0.32,0
50105,674,0,0.59,4,0.08,0
42244,613,0,0.43,0,0.28,0
50956,686,0,0.25,1,0.24,0
55100,800,0,0.13,1,0.31,0
56145,685,0,0.54,0,0.07,0
62678,635,0,0.3,0,0.17,0
43690,690,0,0.65,0,0.32,0
44040,620,0,0.25,3,0.32,0
31478,734,1,0.33,1,0.29,0
55369,686,0,0.13,2,0.41,0
69011,650,0,0.14,3,0.11,0
50105,686,0,0.32,2,0.07,0
55949,649,0,0.51,2,0.37,0
50105,603,0,0.47,0,0.33,0
50105,707,0,0.19,2,0.29,0
50105,632,1,0.45,4,0.29,0
62367,626,1,1.0,1,0.3,0
50105,766,0,0.13,0,0.54,0
50105,622,0,0.09,2,0.25,0
52368,691,1,0.96,1,0.34,0
38094,678,0,0.56,2,0.07,0
50105,712,0,0.87,2,0.28,0
66900,676,1,0.12,2,0.23,0
38124,682,1,0.79,3,0.29,1
35206,639,1,0.38,2,0.37,0
64033,731,0,0.39,1,0.14,0
50105,687,0,0.87,1,0.18,0
59091,712,1,0.19,2,0.22,0
50105,660,0,0.55,2,0.29,0
59183,712,0,0.46,3,0.11,0
40167,717,1,0.16,1,0.26,0
34765,718,0,0.32,3,0.54,0
42752,669,0,0.28,3,0.46,0
69029,627,0,0.37,2,0.35,0
50105,684,0,0.11,5,0.05,0
50105,652,0,0.21,0,0.29,0
53193,633,0,0.65,3,0.15,0
50105,693,0,0.52,2,0.46,0
60125,713,0,0.53,2,0.17,0
38014,701,1,0.26,1,0.29,0
50105,711,0,0.31,6,0.04,0
54974,704,0,0.11,1,0.2,0
47438,701,0,0.53,2,0.31,0
49796,636,0,0.22,1,0.51,0
49939,640,0,0.64,1,0.06,0
31146,680,0,0.82,0,0.48,0
34253,620,0,0.12,2,0.31,0
62272,662,0,0.38,1,0.09,0
62317,681,0,0.32,4,0.28,0
36735,585,1,0.31,1,0.53,1
50105,654,0,0.31,4,0.24,0
51280,689,0,0.39,1,0.28,0
51856,744,2,0.65,1,0.15,0
57306,734,0,0.14,2,0.26,0
66167,720,0,0.33,1,0.31,0
40514,676,0,0.5,0,0.33,0
46034,663,0,0.62,0,0.52,0
44676,642,0,0.18,2,0.4,0
50105,682,0,0.34,0,0.29,0
52372,689,0,0.58,1,0.33,0
49833,689,0,0.25,2,0.3,0
50105,719,0,0.33,1,0.26,0
53150,701,0,0.6,2,0.25,0
67629,662,0,0.38,4,0.24,0
50105,706,3,0.13,1,0.45,0
50105,683,0,0.33,0,0.27,0
45371,674,2,0.38,0,0.26,0
48830,687,0,0.47,0,0.17,0
50105,752,0,0.36,4,0.29,0
68658,658,0,0.37,3,0.23,0
49654,719,1,0.3,3,0.31,0
43396,661,0,0.44,0,0.24,0
54348,694,0,0.24,1,0.29,0
54691,647,0,0.47,1,0.19,0
63431,746,0,0.52,0,0.2,0
57715,642,0,0.74,2,0.17,0
60820,675,0,0.35,2,0.22,0
34193,628,0,0.45,0,0.42,0
49043,620,0,0.03,1,0.24,0
59599,705,0,0.48,0,0.19,0
47703,701,1,0.31,1,0.29,0
68675,671,0,0.49,2,0.15,0
42433,580,0,0.35,2,0.44,0
50105,646,0,0.34,0,0.21,0
49766,659,0,0.15,2,0.36,0
50105,672,0,0.57,3,0.21,0
49777,699,0,0.26,3,0.1,0
67780,675,0,0.2,0,0.35,0
50105,696,0,0.6,0,0.33,0
59008,700,1,0.14,1,0.33,0
41556,552,0,0.39,3,0.21,0
38892,614,1,0.36,0,0.44,0
53546,732,1,0.57,0,0.39,0
31927,734,0,0.54,1,0.26,0
50105,783,2,0.16,1,0.15,0
51641,638,0,0.53,4,0.48,0
37822,671,0,0.03,1,0.51,0
47201,701,1,0.46,0,0.41,0
55312,612,0,0.33,1,0.2,0
55484,671,1,0.64,2,0.16,0
35474,619,1,0.99,2,0.34,0
35457,681,0,0.7,1,0.41,0
50105,648,0,1.0,1,0.02,0
55133,591,0,0.05,0,0.15,0
61915,734,0,0.43,1,0.17,0
33503,665,1,0.19,5,0.29,1
31736,795,0,0.17,2,0.25,0
52946,682,1,0.66,2,0.13,0
40222,677,3,0.46,0,0.38,0
34284,610,0,0.4,3,0.45,0
58153,630,0,0.11,0,0.28,0
42991,597,0,0.24,1,0.34,0
50105,627,0,0.18,0,0.29,0
35723,722,0,0.68,2,0.31,0
62999,630,1,0.76,2,0.22,0
35175,727,0,0.86,3,0.16,0
55135,697,0,0.44,3,0.22,0
49682,642,1,0.32,1,0.33,0
50105,598,0,0.65,1,0.29,0
67678,701,0,0.47,1,0.24,0
68842,709,0,0.57,1,0.31,0
50105,676,0,0.13,3,0.29,0
53138,681,0,0.41,1,0.2,0
50105,741,0,0.38,1,0.29,0
54915,586,0,0.6,2,0.32,0
56963,740,0,0.69,2,0.25,0
63718,673,0,0.48,0,0.17,0
50105,747,1,0.75,2,0.29,0
50105,704,1,0.19,1,0.3,0
51544,713,0,0.39,2,0.27,0
46567,675,1,0.84,1,0.39,0
40301,696,0,0.32,1,0.25,0
67084,632,0,0.58,1,0.37,0
42106,715,1,0.07,2,0.32,0
44141,692,0,0.44,1,0.21,0
50105,693,0,0.54,4,0.23,0
56822,648,0,0.39,2,0.25,0
32046,675,0,0.74,0,0.2,0
50105,650,0,0.58,0,0.1,0
63848,681,0,0.29,2,0.18,0
47410,773,0,0.13,1,0.36,0
53252,737,1,0.14,4,0.38,0
50105,712,0,0.35,1,0.15,0
46551,676,0,0.7,0,0.04,0
45005,629,0,0.18,2,0.34,0
47219,684,2,0.25,1,0.28,0
50105,636,0,0.11,1,0.49,0
63466,599,1,0.55,0,0.35,0
40199,744,1,0.14,3,0.39,0
50105,613,0,0.15,4,0.29,0
63571,709,1,0.23,0,0.17,0
51563,758,1,0.63,1,0.17,0
67719,623,1,0.89,1,0.23,0
50105,718,0,0.56,1,0.29,0
68217,660,0,0.53,1,0.36,0
62742,685,0,0.96,3,0.26,0
44278,739,0,0.77,0,0.34,0
50242,614,0,0.34,2,0.3,0
50791,530,1,0.73,0,0.33,0
63976,639,0,0.49,1,0.27,0
55772,729,1,0.34,2,0.17,0
39899,728,0,0.11,4,0.22,0
53555,627,0,0.4,2,0.36,0
54152,679,0,0.13,2,0.53,0
50105,639,0,0.26,1,0.04,0
50580,736,1,0.37,1,0.19,0
68599,713,0,0.37,4,0.21,0
60569,644,0,0.64,2,0.24,0
50105,639,1,0.53,1,0.25,0
51363,560,0,0.35,0,0.46,0
42092,659,0,0.19,0,0.29,0
40733,824,0,0.35,2,0.25,0
34232,678,0,0.23,2,0.5,0
45040,813,0,0.58,1,0.26,0
46484,709,0,0.27,2,0.52,0
66328,731,0,0.72,3,0.17,0
50105,644,0,0.95,1,0.2,0
50105,685,0,0.35,0,0.29,0
61873,714,0,0.12,1,0.17,0
63524,717,1,0.22,2,0.32,0
51329,661,1,0.34,2,0.22,0
55352,682,0,0.32,0,0.11,0
58460,784,0,0.52,2,0.08,0
55392,703,2,0.41,2,0.27,0
39988,650,0,0.33,1,0.41,0
50105,705,0,0.6,3,0.17,0
46023,734,1,0.62,0,0.41,0
50105,706,2,0.41,2,0.3,0
50435,700,0,0.42,4,0.16,0
56530,714,1,0.73,3,0.29,0
64771,629,0,0.17,0,0.15,0
45470,637,0,0.13,1,0.21,0
52520,693,0,0.19,3,0.18,0
45315,614,1,0.99,1,0.2,0
36896,710,0,0.2,1,0.29,0
36159,702,0,0.45,2,0.29,0
36706,664,1,0.16,1,0.29,0
50105,747,0,0.94,1,0.2,0
43990,705,0,0.62,2,0.34,0
44285,755,0,0.2,1,0.38,0
61079,663,0,0.37,1,0.31,0
52655,662,0,0.28,1,0.22,0
64160,691,0,0.23,0,0.34,0
53366,658,0,0.54,1,0.13,0
41984,663,0,0.07,0,0.08,0
50105,613,0,0.21,0,0.15,0
48084,731,1,0.53,1,0.39,0
38267,630,0,0.5,1,0.29,0
50105,692,0,0.62,3,0.05,0
31679,739,0,0.43,0,0.29,0
38148,569,0,0.35,0,0.21,0
48226,609,1,0.12,1,0.35,0
66965,674,2,0.47,3,0.15,0
57944,718,0,0.31,1,0.2,0
32557,782,0,0.38,0,0.26,0
49933,695,0,0.75,2,0.04,0
42103,710,0,0.46,1,0.23,0
50105,696,0,0.62,5,0.14,0
50105,790,0,0.35,1,0.16,0
36017,694,1,0.63,1,0.21,0
50072,674,0,0.3,0,0.28,0
54367,649,0,0.25,0,0.34,0
53681,642,0,0.23,0,0.23,0
55552,743,0,0.46,0,0.15,0
57428,667,2,0.15,1,0.28,0
44637,695,0,0.16,1,0.4,0
42090,648,0,0.46,2,0.43,0
54651,719,0,0.16,0,0.48,0
45033,719,0,0.22,0,0.32,0
54958,744,0,0.2,1,0.41,0
50105,733,0,0.39,0,0.14,0
59231,585,0,0.15,1,0.27,0
50105,643,0,0.46,2,0.33,0
50105,731,0,0.7,1,0.31,0
42761,626,0,0.07,1,0.26,0
63583,661,0,0.13,2,0.05,0
50105,667,1,0.33,0,0.15,0
55121,795,0,0.08,2,0.11,0
55530,681,1,0.36,0,0.36,0
65952,663,1,0.46,0,0.21,0
50105,698,1,0.2,0,0.54,0
39250,691,0,0.7,0,0.29,0
54602,616,0,0.3,1,0.13,0
63964,592,0,0.32,1,0.18,0
49249,693,0,0.39,2,0.27,0
49153,683,1,0.22,1,0.27,0
50105,806,0,0.86,0,0.24,0
50105,719,0,0.33,2,0.41,0
59591,650,2,0.19,0,0.29,0
61755,635,0,0.57,8,0.2,0
34912,708,1,0.42,1,0.5,0
58110,640,0,0.59,1,0.2,0
55960,761,2,0.11,2,0.39,0
65146,702,0,0.14,1,0.23,0
49424,720,1,0.31,4,0.33,0
50105,698,0,0.1,3,0.29,0
58383,687,1,0.35,3,0.33,0
40909,640,1,0.63,0,0.12,0
62670,733,0,0.45,4,0.2,0
52478,638,0,0.72,2,0.32,0
68875,691,0,0.16,1,0.23,0
44616,742,1,0.22,2,0.42,0
37691,795,0,0.56,2,0.32,0
46548,650,2,0.46,2,0.21,0
50105,650,2,0.43,0,0.29,0
35101,696,0,0.57,2,0.31,0
40926,673,0,0.04,1,0.41,0
50105,766,1,0.35,2,0.29,0
50466,587,0,0.24,1,0.22,0
49019,617,0,0.25,2,0.33,0
43887,671,0,0.34,0,0.24,0
39150,746,0,0.45,0,0.3,0
50105,653,1,0.68,2,0.29,0
51397,725,0,0.33,2,0.21,0
50105,747,0,0.45,2,0.29,0
66153,684,0,0.5,3,0.26,0
56621,622,0,0.45,2,0.13,0
50105,625,1,0.49,0,0.26,0
56967,706,2,0.3,1,0.15,0
50105,697,1,0.62,3,0.29,0
58002,649,1,0.1,3,0.23,0
41284,710,1,0.37,0,0.29,0
43738,795,0,0.24,2,0.39,0
64947,580,0,1.0,0,0.2,0
36635,740,0,0.17,4,0.28,0
43925,636,0,0.34,1,0.32,0
50105,659,2,0.39,2,0.29,0
63893,733,0,0.34,0,0.21,0
50105,726,0,0.19,0,0.14,0
50105,692,0,0.54,2,0.23,0
49635,691,0,0.34,3,0.22,0
39173,673,1,0.58,1,0.32,0
61629,634,0,0.59,2,0.39,0
43955,687,0,0.24,1,0.4,0
50105,754,0,0.41,0,0.2,0
62493,608,1,0.44,0,0.28,0
50105,657,0,0.57,1,0.2,0
61656,696,0,0.18,1,0.16,0
55491,628,0,0.32,0,0.27,0
50105,601,0,0.42,2,0.29,0
47616,628,1,0.34,0,0.16,0
50105,687,0,0.24,2,0.29,0
50105,646,1,0.41,1,0.24,0
47903,633,0,0.08,2,0.25,0
54271,658,1,0.8,1,0.37,0
31753,637,1,0.45,0,0.49,0
44096,746,1,0.06,0,0.51,0
44247,606,0,0.28,1,0.07,0
50105,695,0,0.15,1,0.37,0
64276,700,0,0.7,0,0.14,0
62321,752,0,0.2,1,0.3,0
53474,757,0,0.54,0,0.07,0
60771,676,1,0.83,1,0.31,0
51229,733,0,0.2,0,0.28,0
50105,640,0,0.51,3,0.21,0
36142,721,0,0.21,1,0.14,0
39178,661,0,0.1,1,0.45,0
56140,735,0,0.52,2,0.28,0
35366,686,0,0.33,2,0.46,0
50105,706,1,0.25,1,0.17,0
58285,676,0,0.45,0,0.22,0
54464,622,0,0.74,0,0.23,0
54482,678,1,0.62,2,0.26,0
45119,729,0,0.83,1,0.28,0
37207,676,0,0.39,0,0.46,0
41731,712,0,0.22,1,0.52,0
50105,678,1,0.66,2,0.19,0
53520,701,0,0.05,1,0.48,0
40616,722,0,0.29,3,0.25,0
51137,700,0,0.67,2,0.51,0
63475,738,0,0.42,2,0.06,0
40313,687,0,0.31,3,0.17,0
44520,667,0,0.26,1,0.29,0
39661,751,0,0.57,0,0.45,0
60638,688,0,1.0,3,0.28,0
55687,686,0,0.52,1,0.17,0
30966,655,1,0.32,2,0.24,0
42382,630,0,0.42,1,0.32,0
48191,706,2,0.57,1,0.37,0
57906,685,0,0.35,0,0.27,0
50105,657,1,0.23,3,0.27,0
32678,689,1,0.26,1,0.29,0
53549,723,0,0.31,0,0.38,0
55910,664,0,0.12,1,0.28,0
59717,650,0,0.68,1,0.26,0
42578,638,0,0.68,3,0.3,0
37209,704,1,0.39,2,0.29,0
39207,663,0,0.52,1,0.23,0
37973,746,0,0.71,3,0.11,0
47225,652,1,0.56,1,0.28,0
50105,621,0,1.0,0,0.29,0
49444,686,2,0.76,5,0.24,0
60293,583,2,0.38,1,0.06,0
60117,693,2,0.2,1,0.23,0
47857,698,0,0.76,0,0.32,0
50883,677,1,0.08,1,0.25,0
32719,615,0,0.7,1,0.29,0
61003,640,0,0.26,2,0.13,0
46070,561,1,0.33,0,0.36,0
50105,622,1,0.21,4,0.18,0
48121,668,0,0.42,1,0.11,0
52356,611,0,1.0,3,0.02,0
50105,640,1,0.59,3,0.17,0
48382,675,0,0.94,2,0.28,0
58717,631,1,0.27,1,0.23,0
54487,639,0,0.66,2,0.13,0
57971,675,0,0.76,1,0.19,0
51664,690,0,0.49,1,0.19,0
46175,636,0,0.11,3,0.42,0
50105,706,0,0.23,4,0.09,0
65586,696,0,0.44,0,0.12,0
50105,664,0,0.44,2,0.29,0
50105,669,2,0.32,0,0.29,0
64791,641,0,0.83,2,0.34,0
37921,664,1,0.22,2,0.43,0
34755,672,3,0.24,3,0.29,0
53706,658,1,0.08,2,0.29,0
42586,686,1,0.29,2,0.29,0
50105,583,0,0.3,2,0.29,0
48464,701,0,0.46,4,0.2,0
32015,740,1,0.47,1,0.49,0
50105,617,1,0.92,2,0.54,1
37727,642,2,0.65,0,0.29,0
68009,722,0,0.8,3,0.16,0
46306,633,0,1.0,0,0.32,0
42210,707,0,0.09,1,0.4,0
57963,662,0,0.51,0,0.28,0
38241,675,0,0.03,2,0.42,0
50105,759,0,0.81,4,0.1,0
44317,745,1,0.77,2,0.13,0
60104,630,0,0.28,2,0.32,0
62453,714,0,0.35,2,0.02,0
44688,696,0,0.56,3,0.25,0
56373,640,0,0.74,1,0.25,0
31067,762,0,0.67,5,0.44,0
48460,602,0,0.6,1,0.29,0
58964,683,0,0.59,0,0.25,0
38815,649,0,0.27,1,0.52,0
50105,785,0,0.58,3,0.29,0
44898,633,0,0.21,0,0.23,0
42672,641,0,0.22,0,0.4,0
55569,711,2,0.51,4,0.38,0
51119,729,0,0.52,1,0.35,0
64846,721,0,0.63,3,0.27,0
44046,708,0,0.39,2,0.24,0
39773,760,0,0.57,1,0.54,0
50105,640,1,0.42,2,0.04,0
39857,659,0,0.16,0,0.39,0
35704,578,0,0.49,1,0.15,0
57898,703,0,0.28,1,0.37,0
68609,659,0,0.62,3,0.39,0
43026,683,0,0.32,1,0.13,0
67735,720,0,0.12,0,0.19,0
48344,717,0,0.99,0,0.19,0
32541,658,0,0.51,2,0.07,0
50105,662,1,0.23,1,0.13,0
63625,673,0,0.42,0,0.18,0
50105,649,1,0.22,4,0.08,0
32277,640,0,0.38,2,0.33,0
51751,667,0,0.54,0,0.44,0
53680,598,0,0.12,1,0.14,0
52141,671,0,0.24,2,0.29,0
64927,748,0,0.22,3,0.13,0
43546,702,0,0.81,1,0.43,0
52385,776,0,0.18,0,0.25,0
42744,703,0,0.48,5,0.47,0
57703,710,0,0.74,1,0.15,0
52030,646,0,0.6,1,0.32,0
53762,745,0,0.69,4,0.37,0
52522,710,1,0.63,3,0.21,0
64438,628,0,0.17,1,0.35,0
50105,650,0,0.91,1,0.16,0
52026,606,0,0.6,1,0.29,0
50105,597,0,0.38,0,0.19,0
42722,780,0,0.29,3,0.51,0
58535,679,2,0.21,1,0.09,0
47585,650,0,0.79,0,0.16,0
50105,667,1,0.5,2,0.28,0
50105,598,0,0.39,0,0.23,0
50451,634,0,0.23,5,0.19,0
44491,665,0,0.7,0,0.36,0
41886,658,0,0.07,1,0.35,0
37454,657,0,0.16,2,0.15,0
50105,656,0,0.19,1,0.29,0
